Date,Region_Name,Average_Price_SA
01/02/1996,Wales,42315.59908
01/02/1996,Yorkshire and The Humber,43929.93566
01/02/1996,South West,53616.70547
01/02/1996,South East,64709.39556
01/02/1996,London,77326.28899
01/02/1996,West Midlands Region,48978.26262
01/02/1996,North East,40774.16031
01/02/1996,East of England,55725.23094
01/02/1996,East Midlands,44829.6741
01/02/1996,North West,43421.8236
01/02/1996,England and Wales,52477.69437
01/03/1996,England,52976.34585
01/03/1996,Wales,42118.33507
01/03/1996,East Midlands,45400.10926
01/03/1996,East of England,55830.33552
01/03/1996,North East,41292.29109
01/03/1996,South West,53988.24794
01/03/1996,South East,64639.0299
01/03/1996,North West,43294.49487
01/03/1996,West Midlands Region,49028.44012
01/03/1996,Yorkshire and The Humber,43810.35365
01/03/1996,London,76000.07869
01/03/1996,England and Wales,52406.54814
01/04/1996,Wales,42771.10007
01/04/1996,England,53095.72507
01/04/1996,Yorkshire and The Humber,43802.65211
01/04/1996,London,76479.64857
01/04/1996,North West,42911.33931
01/04/1996,South East,65060.31945
01/04/1996,West Midlands Region,48760.20059
01/04/1996,East Midlands,45167.39206
01/04/1996,North East,40907.54515
01/04/1996,South West,54244.5345
01/04/1996,East of England,55940.92312
01/04/1996,England and Wales,52500.21038
01/05/1996,England,53284.04267
01/05/1996,Wales,42739.7048
01/05/1996,West Midlands Region,49450.6854
01/05/1996,London,76471.15798
01/05/1996,Yorkshire and The Humber,43965.99514
01/05/1996,South West,54442.5616
01/05/1996,East of England,55937.82599
01/05/1996,East Midlands,45172.98968
01/05/1996,South East,65217.81944
01/05/1996,North West,43124.74527
01/05/1996,North East,41616.0035
01/05/1996,England and Wales,52706.60234
01/06/1996,Wales,42617.43936
01/06/1996,England,53425.39558
01/06/1996,Yorkshire and The Humber,44080.73535
01/06/1996,London,77182.18756
01/06/1996,North East,41439.22335
01/06/1996,West Midlands Region,49179.18826
01/06/1996,South East,65428.05811
01/06/1996,North West,43165.00932
01/06/1996,East Midlands,45624.41427
01/06/1996,East of England,56190.65671
01/06/1996,South West,54632.1509
01/06/1996,England and Wales,52832.36471
01/07/1996,Wales,42827.23576
01/07/1996,England,53632.4548
01/07/1996,North West,43397.57437
01/07/1996,North East,41330.69048
01/07/1996,Yorkshire and The Humber,44285.80929
01/07/1996,South East,65991.23391
01/07/1996,West Midlands Region,49620.81029
01/07/1996,South West,55088.97117
01/07/1996,East Midlands,45544.25342
01/07/1996,East of England,55935.99108
01/07/1996,London,76982.49396
01/07/1996,England and Wales,53050.86725
01/08/1996,Wales,42965.65675
01/08/1996,England,53894.13897
01/08/1996,North East,41819.9552
01/08/1996,North West,43560.55124
01/08/1996,West Midlands Region,49952.76554
01/08/1996,South East,65986.30731
01/08/1996,London,77777.10851
01/08/1996,South West,55147.87837
01/08/1996,East of England,56854.71555
01/08/1996,Yorkshire and The Humber,44225.01795
01/08/1996,East Midlands,45881.67626
01/08/1996,England and Wales,53295.17919
01/09/1996,Wales,42718.04215
01/09/1996,England,54183.62971
01/09/1996,Yorkshire and The Humber,44183.01209
01/09/1996,East of England,56769.93363
01/09/1996,East Midlands,46079.45896
01/09/1996,North East,42008.83815
01/09/1996,West Midlands Region,50185.43994
01/09/1996,South West,55522.22028
01/09/1996,South East,66441.01105
01/09/1996,London,78474.56769
01/09/1996,North West,43637.36529
01/09/1996,England and Wales,53559.40251
01/10/1996,England,54501.90517
01/10/1996,Wales,43529.97583
01/10/1996,Yorkshire and The Humber,44381.92095
01/10/1996,East of England,57361.41607
01/10/1996,East Midlands,46168.76548
01/10/1996,South West,56096.21042
01/10/1996,North East,41751.62167
01/10/1996,North West,43921.03942
01/10/1996,West Midlands Region,50542.79681
01/10/1996,South East,66571.59808
01/10/1996,London,79458.17428
01/10/1996,England and Wales,53899.70903
01/11/1996,England,54997.66648
01/11/1996,Wales,43231.45349
01/11/1996,West Midlands Region,51230.59805
01/11/1996,East Midlands,46618.93672
01/11/1996,South East,67542.69825
01/11/1996,North West,43970.2677
01/11/1996,East of England,58152.92685
01/11/1996,North East,42007.43266
01/11/1996,London,80512.87726
01/11/1996,South West,56488.04642
01/11/1996,Yorkshire and The Humber,45011.24552
01/11/1996,England and Wales,54390.58038
01/12/1996,England,55431.52759
01/12/1996,Wales,43925.84911
01/12/1996,North West,44171.29323
01/12/1996,East Midlands,47124.68258
01/12/1996,South East,68642.37192
01/12/1996,East of England,58671.58775
01/12/1996,Yorkshire and The Humber,44710.24857
01/12/1996,South West,57147.16156
01/12/1996,North East,41694.52865
01/12/1996,London,81419.29822
01/12/1996,West Midlands Region,51051.29236
01/12/1996,England and Wales,54828.8062
01/01/1997,England,56078.05962
01/01/1997,Wales,43388.67096
01/01/1997,North East,42205.04282
01/01/1997,South East,69533.02069
01/01/1997,East Midlands,46996.9187
01/01/1997,North West,44368.99338
01/01/1997,South West,57787.7995
01/01/1997,West Midlands Region,51411.57213
01/01/1997,Yorkshire and The Humber,44974.65484
01/01/1997,London,82727.56394
01/01/1997,East of England,59334.5684
01/01/1997,England and Wales,55419.50744
01/02/1997,Wales,45060.14004
01/02/1997,England,56978.18117
01/02/1997,North West,45116.96766
01/02/1997,South East,70667.32681
01/02/1997,North East,42747.4311
01/02/1997,London,84820.61491
01/02/1997,Yorkshire and The Humber,44868.8295
01/02/1997,East of England,60158.30394
01/02/1997,East Midlands,47700.57862
01/02/1997,West Midlands Region,51827.86607
01/02/1997,South West,58392.48106
01/02/1997,England and Wales,56179.81611
01/03/1997,Wales,44822.57934
01/03/1997,England,57144.80224
01/03/1997,South West,58938.97353
01/03/1997,South East,71637.86698
01/03/1997,East Midlands,47858.18742
01/03/1997,North West,45221.0753
01/03/1997,Yorkshire and The Humber,45290.68691
01/03/1997,London,84949.17854
01/03/1997,West Midlands Region,52344.83563
01/03/1997,North East,42241.86501
01/03/1997,East of England,60728.69437
01/03/1997,England and Wales,56494.45643
01/04/1997,Wales,43948.39556
01/04/1997,England,57329.84124
01/04/1997,Yorkshire and The Humber,45578.0718
01/04/1997,East Midlands,48234.09041
01/04/1997,North East,43187.83759
01/04/1997,South East,72029.6137
01/04/1997,South West,59091.69435
01/04/1997,North West,44414.11872
01/04/1997,West Midlands Region,52525.63987
01/04/1997,East of England,60440.51435
01/04/1997,London,85734.75895
01/04/1997,England and Wales,56538.59153
01/05/1997,England,57951.59002
01/05/1997,Wales,45177.36456
01/05/1997,South East,73216.17653
01/05/1997,South West,59312.5582
01/05/1997,East Midlands,48429.88611
01/05/1997,Yorkshire and The Humber,45612.63507
01/05/1997,North West,44862.1628
01/05/1997,East of England,61465.25714
01/05/1997,West Midlands Region,52948.35921
01/05/1997,North East,42792.44806
01/05/1997,London,87785.22236
01/05/1997,England and Wales,57255.10764
01/06/1997,Wales,45673.45122
01/06/1997,England,58450.1257
01/06/1997,East Midlands,48401.93095
01/06/1997,North West,45728.77231
01/06/1997,South West,60096.89259
01/06/1997,Yorkshire and The Humber,45787.0619
01/06/1997,South East,73866.04025
01/06/1997,East of England,62349.98622
01/06/1997,North East,43175.99351
01/06/1997,London,88244.11227
01/06/1997,West Midlands Region,53086.69116
01/06/1997,England and Wales,57750.58206
01/07/1997,Wales,45014.23306
01/07/1997,England,58956.45283
01/07/1997,East Midlands,49089.57177
01/07/1997,London,90158.6184
01/07/1997,East of England,63024.76207
01/07/1997,South West,60549.69547
01/07/1997,South East,74766.81423
01/07/1997,Yorkshire and The Humber,45671.74223
01/07/1997,North West,45254.21907
01/07/1997,North East,43994.55199
01/07/1997,West Midlands Region,53453.27775
01/07/1997,England and Wales,58202.24231
01/08/1997,Wales,45804.62585
01/08/1997,England,59459.81092
01/08/1997,South East,76031.91745
01/08/1997,South West,61312.83391
01/08/1997,Yorkshire and The Humber,45827.73155
01/08/1997,West Midlands Region,53968.81269
01/08/1997,North West,45779.19468
01/08/1997,North East,43128.3072
01/08/1997,London,90653.56682
01/08/1997,East Midlands,49325.53339
01/08/1997,East of England,63501.47295
01/08/1997,England and Wales,58705.2967
01/09/1997,England,60011.21204
01/09/1997,Wales,45779.47706
01/09/1997,North West,45923.61597
01/09/1997,East Midlands,49498.41214
01/09/1997,West Midlands Region,54121.44407
01/09/1997,London,92677.71689
01/09/1997,North East,42687.93094
01/09/1997,East of England,64025.92771
01/09/1997,South West,61876.85555
01/09/1997,Yorkshire and The Humber,46188.97967
01/09/1997,South East,77182.25417
01/09/1997,England and Wales,59228.7338
01/10/1997,Wales,45998.85469
01/10/1997,England,60497.07221
01/10/1997,North East,43134.4305
01/10/1997,Yorkshire and The Humber,45985.9137
01/10/1997,East of England,65708.39046
01/10/1997,North West,45913.38273
01/10/1997,East Midlands,49748.19094
01/10/1997,South West,62424.99814
01/10/1997,West Midlands Region,53778.7124
01/10/1997,London,93790.72219
01/10/1997,South East,78374.47048
01/10/1997,England and Wales,59697.04867
01/11/1997,England,60929.19206
01/11/1997,Wales,45988.41624
01/11/1997,Yorkshire and The Humber,46087.23138
01/11/1997,East Midlands,50091.8583
01/11/1997,North West,46191.74651
01/11/1997,East of England,65257.23455
01/11/1997,London,95126.40223
01/11/1997,West Midlands Region,54329.90114
01/11/1997,South West,63235.53388
01/11/1997,South East,79514.40706
01/11/1997,North East,43233.87915
01/11/1997,England and Wales,60130.68614
01/12/1997,Wales,46279.63092
01/12/1997,England,61203.46764
01/12/1997,South East,79632.02977
01/12/1997,North West,45738.33419
01/12/1997,London,96894.85333
01/12/1997,East Midlands,49832.17071
01/12/1997,North East,43409.98578
01/12/1997,East of England,65851.35781
01/12/1997,West Midlands Region,55123.4389
01/12/1997,Yorkshire and The Humber,45699.58725
01/12/1997,South West,63568.82449
01/12/1997,England and Wales,60418.78301
01/01/1998,Wales,46408.51667
01/01/1998,England,62183.14171
01/01/1998,Yorkshire and The Humber,46728.17354
01/01/1998,South West,64289.68522
01/01/1998,East of England,67110.99933
01/01/1998,East Midlands,50952.98447
01/01/1998,North East,44004.01198
01/01/1998,West Midlands Region,55460.90855
01/01/1998,South East,80516.86856
01/01/1998,North West,46577.84556
01/01/1998,London,97632.80722
01/01/1998,England and Wales,61340.39928
01/02/1998,Wales,46376.13249
01/02/1998,England,62511.07074
01/02/1998,South West,64618.70478
01/02/1998,Yorkshire and The Humber,47037.71296
01/02/1998,North West,46363.69806
01/02/1998,East of England,67319.78132
01/02/1998,East Midlands,50756.77533
01/02/1998,London,98158.28579
01/02/1998,North East,43809.69267
01/02/1998,West Midlands Region,55557.74946
01/02/1998,South East,81296.78177
01/02/1998,England and Wales,61543.20037
01/03/1998,Wales,47209.6737
01/03/1998,England,62743.22278
01/03/1998,East of England,67933.73277
01/03/1998,West Midlands Region,55413.4382
01/03/1998,East Midlands,50894.17867
01/03/1998,North West,46547.17416
01/03/1998,North East,44315.75852
01/03/1998,South East,82208.46377
01/03/1998,South West,65234.08224
01/03/1998,London,99436.06278
01/03/1998,Yorkshire and The Humber,46653.89651
01/03/1998,England and Wales,61878.67663
01/04/1998,Wales,47377.87656
01/04/1998,England,63379.6646
01/04/1998,London,100892.0117
01/04/1998,North West,47036.74652
01/04/1998,West Midlands Region,56148.40487
01/04/1998,Yorkshire and The Humber,46665.74192
01/04/1998,South West,65862.29993
01/04/1998,North East,44129.41086
01/04/1998,East Midlands,51325.889
01/04/1998,East of England,68636.35971
01/04/1998,South East,83259.62884
01/04/1998,England and Wales,62461.9903
01/05/1998,Wales,47471.91755
01/05/1998,England,63706.1928
01/05/1998,North West,47517.76971
01/05/1998,South East,83858.67165
01/05/1998,West Midlands Region,56173.9507
01/05/1998,East of England,69332.58431
01/05/1998,South West,66550.55095
01/05/1998,Yorkshire and The Humber,46817.33158
01/05/1998,East Midlands,51707.50819
01/05/1998,London,100240.7212
01/05/1998,North East,43948.22565
01/05/1998,England and Wales,62812.07992
01/06/1998,Wales,47361.92763
01/06/1998,England,63906.99771
01/06/1998,North West,47337.31861
01/06/1998,North East,44531.02127
01/06/1998,East of England,69621.22325
01/06/1998,Yorkshire and The Humber,46644.07944
01/06/1998,South West,66180.78926
01/06/1998,West Midlands Region,56635.52266
01/06/1998,South East,84342.36735
01/06/1998,London,101881.4277
01/06/1998,East Midlands,51808.46843
01/06/1998,England and Wales,62999.60692
01/07/1998,England,64247.55835
01/07/1998,Wales,47458.54074
01/07/1998,East of England,69775.4989
01/07/1998,West Midlands Region,56822.82272
01/07/1998,East Midlands,51783.73095
01/07/1998,London,102258.0492
01/07/1998,South East,84946.51057
01/07/1998,South West,67528.79201
01/07/1998,North East,44165.2406
01/07/1998,Yorkshire and The Humber,47233.86742
01/07/1998,North West,47407.39697
01/07/1998,England and Wales,63325.86814
01/08/1998,Wales,47585.7191
01/08/1998,England,64316.66227
01/08/1998,East Midlands,52080.69086
01/08/1998,East of England,69823.9269
01/08/1998,South East,85311.19647
01/08/1998,London,102316.2186
01/08/1998,South West,67382.26818
01/08/1998,North West,46987.07549
01/08/1998,Yorkshire and The Humber,47251.87793
01/08/1998,North East,44755.68148
01/08/1998,West Midlands Region,56925.98091
01/08/1998,England and Wales,63386.89244
01/09/1998,Wales,47657.46031
01/09/1998,England,64463.17043
01/09/1998,East Midlands,52174.61328
01/09/1998,South West,66849.26342
01/09/1998,North East,45394.90844
01/09/1998,North West,47259.83536
01/09/1998,West Midlands Region,56989.67739
01/09/1998,South East,85695.3795
01/09/1998,East of England,70543.38249
01/09/1998,London,102906.0286
01/09/1998,Yorkshire and The Humber,46953.66009
01/09/1998,England and Wales,63528.98811
01/10/1998,Wales,47765.10435
01/10/1998,England,64812.80603
01/10/1998,South West,67354.69485
01/10/1998,London,103957.9474
01/10/1998,North East,44576.09476
01/10/1998,East of England,71148.97262
01/10/1998,East Midlands,52419.39784
01/10/1998,Yorkshire and The Humber,47550.8022
01/10/1998,West Midlands Region,57292.84533
01/10/1998,South East,86013.1842
01/10/1998,North West,47447.37204
01/10/1998,England and Wales,63860.62686
01/11/1998,Wales,47217.27855
01/11/1998,England,64764.20906
01/11/1998,West Midlands Region,57204.68943
01/11/1998,Yorkshire and The Humber,46393.09187
01/11/1998,North West,47508.13028
01/11/1998,East of England,70904.40916
01/11/1998,East Midlands,51934.43579
01/11/1998,London,104156.8628
01/11/1998,North East,44613.48096
01/11/1998,South East,86478.42236
01/11/1998,South West,68071.57979
01/11/1998,England and Wales,63818.75356
01/12/1998,Wales,48292.85688
01/12/1998,England,65213.4127
01/12/1998,Yorkshire and The Humber,47385.57119
01/12/1998,East Midlands,52602.96096
01/12/1998,South East,86506.81255
01/12/1998,London,104904.5418
01/12/1998,South West,68473.53913
01/12/1998,East of England,70877.06841
01/12/1998,West Midlands Region,57379.18004
01/12/1998,North East,44968.6729
01/12/1998,North West,47793.12235
01/12/1998,England and Wales,64322.32812
01/01/1999,England,66057.9023
01/01/1999,Wales,49120.25415
01/01/1999,South West,69779.41429
01/01/1999,West Midlands Region,58568.15952
01/01/1999,Yorkshire and The Humber,47546.28339
01/01/1999,North West,47838.87331
01/01/1999,East Midlands,53187.86434
01/01/1999,South East,87889.77799
01/01/1999,North East,45189.87681
01/01/1999,London,105514.1532
01/01/1999,East of England,72168.86431
01/01/1999,England and Wales,65149.59059
01/02/1999,Wales,48920.46727
01/02/1999,England,66485.06505
01/02/1999,West Midlands Region,58173.64522
01/02/1999,East of England,72787.43095
01/02/1999,North West,48150.76368
01/02/1999,East Midlands,53028.87679
01/02/1999,South West,70230.06588
01/02/1999,Yorkshire and The Humber,47724.8353
01/02/1999,London,106502.2376
01/02/1999,South East,88689.76187
01/02/1999,North East,44388.32536
01/02/1999,England and Wales,65475.38288
01/03/1999,Wales,48650.72111
01/03/1999,England,67015.59598
01/03/1999,North West,48369.84877
01/03/1999,London,108173.0854
01/03/1999,South West,71412.33597
01/03/1999,West Midlands Region,58600.29201
01/03/1999,North East,45090.97617
01/03/1999,Yorkshire and The Humber,48244.49694
01/03/1999,South East,89182.33653
01/03/1999,East Midlands,53793.3214
01/03/1999,East of England,73005.95142
01/03/1999,England and Wales,65985.03249
01/04/1999,England,67364.3555
01/04/1999,Wales,48992.35312
01/04/1999,South West,71199.8574
01/04/1999,South East,89909.79337
01/04/1999,Yorkshire and The Humber,47797.00587
01/04/1999,East of England,73552.83486
01/04/1999,East Midlands,54961.14387
01/04/1999,North West,48742.59837
01/04/1999,North East,45063.78201
01/04/1999,London,109226.3302
01/04/1999,West Midlands Region,59086.05123
01/04/1999,England and Wales,66330.27482
01/05/1999,England,67825.80257
01/05/1999,Wales,48815.00065
01/05/1999,South West,72026.42908
01/05/1999,West Midlands Region,59208.25992
01/05/1999,North East,44975.16367
01/05/1999,London,110295.9342
01/05/1999,Yorkshire and The Humber,48460.23396
01/05/1999,North West,49120.76214
01/05/1999,East Midlands,54340.31221
01/05/1999,South East,90682.17513
01/05/1999,East of England,73834.94768
01/05/1999,England and Wales,66773.06185
01/06/1999,England,68630.6774
01/06/1999,Wales,49202.6328
01/06/1999,South West,72995.6852
01/06/1999,South East,91741.10405
01/06/1999,London,112275.6892
01/06/1999,East Midlands,54601.98782
01/06/1999,North East,46290.28955
01/06/1999,West Midlands Region,60085.46803
01/06/1999,East of England,75433.26248
01/06/1999,North West,49469.1949
01/06/1999,Yorkshire and The Humber,48695.14859
01/06/1999,England and Wales,67560.76461
01/07/1999,England,69311.84321
01/07/1999,Wales,49898.01028
01/07/1999,East Midlands,55323.65853
01/07/1999,South East,93036.0833
01/07/1999,North West,49704.61933
01/07/1999,Yorkshire and The Humber,48418.4663
01/07/1999,North East,46020.66999
01/07/1999,South West,73619.90665
01/07/1999,East of England,75939.47719
01/07/1999,London,114786.099
01/07/1999,West Midlands Region,60702.15333
01/07/1999,England and Wales,68235.76247
01/08/1999,England,70052.92811
01/08/1999,Wales,49356.72078
01/08/1999,North East,45726.71194
01/08/1999,North West,50067.19154
01/08/1999,South West,74105.90909
01/08/1999,East Midlands,55672.55056
01/08/1999,East of England,76667.54213
01/08/1999,Yorkshire and The Humber,49012.06705
01/08/1999,West Midlands Region,61017.68389
01/08/1999,London,117197.392
01/08/1999,South East,94819.72932
01/08/1999,England and Wales,68903.5465
01/09/1999,England,71475.65876
01/09/1999,Wales,50745.52639
01/09/1999,South East,97945.73576
01/09/1999,Yorkshire and The Humber,49175.18828
01/09/1999,North East,46598.74766
01/09/1999,East Midlands,56260.61481
01/09/1999,London,120746.0363
01/09/1999,South West,76428.68313
01/09/1999,East of England,78654.59384
01/09/1999,West Midlands Region,61705.75253
01/09/1999,North West,50436.03361
01/09/1999,England and Wales,70319.37303
01/10/1999,England,72509.6837
01/10/1999,Wales,51108.31462
01/10/1999,East of England,79899.79955
01/10/1999,South West,77885.93442
01/10/1999,West Midlands Region,62620.1396
01/10/1999,London,122616.4715
01/10/1999,North West,50704.53162
01/10/1999,Yorkshire and The Humber,49689.8674
01/10/1999,North East,47870.34338
01/10/1999,East Midlands,56872.2728
01/10/1999,South East,99031.56829
01/10/1999,England and Wales,71322.51829
01/11/1999,England,73563.86476
01/11/1999,Wales,51714.5631
01/11/1999,East Midlands,57483.34496
01/11/1999,South West,78935.23522
01/11/1999,London,125395.6069
01/11/1999,North East,47734.75607
01/11/1999,North West,51135.40283
01/11/1999,South East,100858.7738
01/11/1999,Yorkshire and The Humber,50099.11754
01/11/1999,West Midlands Region,62906.60564
01/11/1999,East of England,81819.02775
01/11/1999,England and Wales,72389.08876
01/12/1999,England,74636.73644
01/12/1999,Wales,51678.50205
01/12/1999,London,128101.6983
01/12/1999,South East,102978.3203
01/12/1999,South West,81204.43936
01/12/1999,West Midlands Region,63423.51787
01/12/1999,Yorkshire and The Humber,50080.29781
01/12/1999,North East,47149.8791
